Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4326.33059600216
Albania,ALB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,16.83086981
Albania,ALB,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,100
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,45.8100373938934
Albania,ALB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.78
Albania,ALB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,..
Albania,ALB,"Children out of school, primary",SE.PRM.UNER,4085
Albania,ALB,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,117.392740239274
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.898
Albania,ALB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.28999996185303
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Albania,ALB,Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,..
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708029197
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15147020535.3869
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.07130129479023
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5284.38018438156
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13546.4816863125
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,..
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..
Albania,ALB,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,0.628666281700134
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,..
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,..
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.4
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.02805963071136
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.2894924438
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,5927000
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.458
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.16126612950916
Albania,ALB,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,..
Albania,ALB,New businesses registered (number),IC.BUS.NREG,2990
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Albania,ALB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.246732042281782
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,55.4799995422363
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..
Albania,ALB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.17
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.3
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.3
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.319
